                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8343,                 2.9583,                  1.679,                0.85523,                0.30502,                0.53605,                0.24243,                 1.4863,                 2.5589,                 1.2345,                0.00024,                0.00024,                0.00024
                      2,                 1.4565,                  1.592,                 1.3122,                 0.8017,                0.35155,                0.54608,                0.27539,                 1.3659,                 2.3529,                 1.2633,             0.00049752,             0.00049752,             0.00049752
                      3,                 1.3865,                 1.4428,                 1.2814,                0.81737,                 0.4135,                0.63241,                0.36164,                 1.3412,                 2.1433,                 1.2944,             0.00075248,             0.00075248,             0.00075248
                      4,                 1.3598,                 1.3757,                 1.2646,                0.56137,                0.47283,                0.48658,                0.27089,                 1.3464,                  2.051,                 1.3347,              0.0010049,              0.0010049,              0.0010049
                      5,                 1.3286,                 1.3071,                 1.2442,                0.69868,                0.56393,                0.60841,                0.34283,                 1.3675,                 1.9272,                 1.3352,              0.0012547,              0.0012547,              0.0012547
                      6,                  1.299,                 1.2652,                 1.2241,                0.71208,                0.61277,                0.67483,                0.37433,                 1.3244,                 1.8111,                 1.3232,              0.0015019,              0.0015019,              0.0015019
                      7,                 1.2736,                 1.2478,                 1.2155,                0.75865,                0.65761,                0.74043,                0.43913,                 1.2832,                 1.3878,                   1.27,              0.0017465,              0.0017465,              0.0017465
                      8,                 1.3074,                 1.2463,                 1.2435,                0.68138,                 0.6875,                0.70136,                0.40177,                 1.3728,                 1.3443,                 1.3087,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.3252,                 1.2579,                 1.2736,                0.70529,                0.71467,                0.74707,                0.44417,                 1.3494,                  1.255,                 1.3089,              0.0019307,              0.0019307,              0.0019307
                     10,                  1.298,                 1.1811,                 1.2395,                0.78715,                0.71352,                0.79513,                0.48528,                 1.3128,                 1.1805,                 1.2942,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.2698,                  1.142,                 1.2174,                0.77657,                0.71308,                0.78197,                0.45532,                 1.2935,                 1.2019,                 1.3099,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.2568,                 1.0953,                 1.2189,                0.75507,                0.67935,                0.74492,                 0.4368,                 1.3019,                 1.3198,                 1.3246,               0.001901,               0.001901,               0.001901
                     13,                  1.215,                 1.0422,                  1.185,                0.80394,                 0.7187,                0.80492,                0.49067,                 1.2852,                 1.1185,                 1.2666,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.2141,                 1.0307,                 1.1931,                0.72782,                0.70788,                0.76349,                0.46172,                 1.2801,                 1.1511,                 1.2798,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.2077,                 1.0651,                 1.1761,                0.71974,                0.65251,                0.70806,                0.40731,                 1.3826,                 1.3402,                  1.362,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.2225,                 1.0109,                 1.1827,                 0.7824,                0.68881,                0.77997,                0.49669,                 1.2493,                 1.1273,                 1.2269,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.1809,                0.99518,                 1.1651,                0.76646,                0.65897,                0.76203,                0.46833,                 1.2516,                 1.1949,                 1.2772,              0.0018515,              0.0018515,              0.0018515
                     18,                  1.193,                0.97125,                  1.192,                0.74197,                0.69022,                0.75586,                 0.4533,                 1.2818,                 1.1524,                 1.3008,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.1958,                0.98589,                 1.1817,                0.80824,                   0.75,                0.83274,                0.51575,                 1.2488,                0.99947,                 1.2614,              0.0018317,              0.0018317,              0.0018317
