                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8343,                 2.9583,                  1.679,                0.86389,                0.26881,                0.56766,                0.27656,                  1.395,                 2.5053,                 1.1905,                0.00024,                0.00024,                0.00024
                      2,                 1.4565,                  1.592,                 1.3122,                0.85392,                0.38235,                0.59981,                0.32348,                  1.273,                 2.2908,                 1.2142,             0.00049752,             0.00049752,             0.00049752
                      3,                 1.3865,                 1.4428,                 1.2814,                0.81977,                0.42275,                0.64608,                0.39163,                 1.2766,                 2.1114,                 1.2674,             0.00075248,             0.00075248,             0.00075248
                      4,                 1.3598,                 1.3757,                 1.2646,                0.63647,                0.50877,                0.53993,                0.32084,                 1.2701,                 1.9957,                 1.3003,              0.0010049,              0.0010049,              0.0010049
                      5,                 1.3286,                 1.3071,                 1.2442,                0.69487,                0.58706,                0.64287,                0.37447,                 1.3197,                 1.8972,                 1.3065,              0.0012547,              0.0012547,              0.0012547
                      6,                  1.299,                 1.2652,                 1.2241,                0.74928,                0.62231,                0.70448,                0.42936,                 1.2277,                 1.7395,                 1.2588,              0.0015019,              0.0015019,              0.0015019
                      7,                 1.2736,                 1.2478,                 1.2155,                0.79731,                0.69529,                 0.7801,                0.47431,                 1.1937,                 1.3413,                  1.224,              0.0017465,              0.0017465,              0.0017465
                      8,                 1.3074,                 1.2463,                 1.2435,                0.73437,                0.67328,                 0.7453,                0.44405,                 1.2766,                 1.3277,                 1.2665,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.3252,                 1.2579,                 1.2736,                0.72378,                   0.72,                0.77753,                0.46457,                 1.2651,                 1.2176,                 1.2828,              0.0019307,              0.0019307,              0.0019307
                     10,                  1.298,                 1.1811,                 1.2395,                0.77078,                0.73765,                0.80657,                0.49122,                 1.2566,                 1.1602,                 1.2829,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.2698,                  1.142,                 1.2174,                0.77925,                0.68471,                0.77811,                0.47298,                 1.2513,                  1.177,                  1.296,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.2568,                 1.0953,                 1.2189,                0.74709,                0.65765,                0.73286,                0.43791,                 1.2549,                 1.3383,                 1.3114,               0.001901,               0.001901,               0.001901
                     13,                  1.215,                 1.0422,                  1.185,                0.83936,                 0.7008,                0.81971,                0.51122,                 1.2515,                 1.0879,                 1.2855,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.2141,                 1.0307,                 1.1931,                0.74902,                0.71412,                 0.7853,                0.48917,                 1.2186,                 1.1225,                 1.2569,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.2077,                 1.0651,                 1.1761,                0.74134,                   0.64,                0.72027,                0.42748,                  1.317,                 1.3534,                 1.3155,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.2225,                 1.0109,                 1.1827,                0.80577,                0.67176,                0.79237,                0.49838,                 1.2236,                 1.1189,                 1.2271,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.1809,                0.99518,                 1.1651,                0.73442,                0.68706,                0.76456,                0.46652,                 1.2245,                 1.2212,                 1.2656,              0.0018515,              0.0018515,              0.0018515
                     18,                  1.193,                0.97125,                  1.192,                0.75774,                0.69647,                0.77788,                0.47896,                 1.2588,                 1.1341,                 1.3069,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.1958,                0.98589,                 1.1817,                0.79847,                0.77882,                0.84903,                0.53931,                 1.2072,                0.95486,                   1.25,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.2187,                0.98051,                  1.192,                0.80807,                0.74824,                0.84134,                0.55259,                 1.1455,                 0.9458,                  1.215,              0.0018218,              0.0018218,              0.0018218
                     21,                  1.168,                0.94008,                 1.1702,                0.81352,                0.78014,                0.85472,                0.55114,                 1.1764,                0.97881,                 1.2142,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.1463,                0.93498,                 1.1538,                0.84412,                0.75529,                0.86326,                0.56328,                 1.1677,                0.91316,                 1.2064,               0.001802,               0.001802,               0.001802
                     23,                 1.1369,                0.88955,                 1.1457,                0.83643,                0.78807,                0.86993,                0.56526,                 1.1622,                0.89331,                 1.2179,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.1019,                0.88833,                  1.148,                0.83702,                0.80353,                0.87982,                0.56664,                 1.1454,                 0.8808,                 1.1892,              0.0017822,              0.0017822,              0.0017822
                     25,                  1.139,                0.89552,                 1.1606,                0.76834,                0.74941,                0.82183,                0.51681,                 1.1905,                0.97139,                 1.2389,              0.0017723,              0.0017723,              0.0017723
                     26,                   1.17,                0.91995,                 1.1644,                0.82935,                0.77187,                0.85604,                0.55433,                  1.148,                0.91603,                  1.209,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.1575,                0.88757,                 1.1694,                0.81116,                0.76824,                 0.8542,                0.53322,                 1.2227,                0.91272,                 1.2843,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.1198,                0.86611,                 1.1467,                0.82901,                0.70824,                0.83369,                0.52371,                 1.1898,                 1.0009,                 1.2342,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.1253,                0.86754,                 1.1335,                0.79935,                0.77176,                0.84369,                0.54979,                 1.1493,                0.95126,                 1.2348,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.1233,                0.85601,                 1.1375,                 0.8073,                0.79176,                0.86187,                0.56288,                 1.1495,                0.88112,                 1.2216,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.1074,                0.82065,                 1.1094,                0.80863,                0.76824,                0.85496,                0.56075,                 1.1205,                0.89699,                  1.205,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.0797,                 0.8026,                 1.1301,                 0.7696,                0.67983,                0.78148,                0.49194,                 1.2239,                 1.0892,                 1.2698,               0.001703,               0.001703,               0.001703
                     33,                 1.1006,                0.80438,                 1.1231,                0.81313,                0.77301,                0.84817,                0.54111,                 1.1755,                0.89876,                  1.234,              0.0016931,              0.0016931,              0.0016931
                     34,                   1.06,                0.77048,                 1.1016,                0.78429,                0.79987,                0.84891,                0.54444,                  1.186,                0.89733,                 1.2545,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.0969,                0.78687,                 1.1229,                0.83268,                0.72235,                0.83541,                 0.5356,                 1.1907,                0.92921,                 1.2432,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0965,                0.79447,                 1.1074,                0.82433,                0.74706,                0.84129,                0.54107,                 1.1843,                0.90969,                 1.2297,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.0898,                0.77805,                 1.1288,                0.76638,                0.79647,                0.85045,                0.55227,                 1.1568,                 0.8623,                 1.2282,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.0792,                0.75541,                 1.1125,                 0.8219,                 0.8144,                0.87383,                0.56631,                 1.1576,                 0.8363,                 1.2264,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.0775,                0.75651,                  1.114,                0.81634,                0.76941,                0.83545,                0.53303,                 1.2029,                0.91921,                 1.2528,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.0756,                0.78396,                 1.1117,                0.82212,                0.73882,                0.83759,                0.54046,                 1.1607,                0.90756,                 1.2411,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.1057,                0.81084,                 1.1277,                0.83513,                   0.74,                0.84523,                0.53569,                 1.1791,                0.91136,                 1.2593,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.0634,                0.76851,                 1.1083,                0.82304,                0.72775,                0.83865,                0.53476,                 1.1781,                0.93079,                 1.2379,               0.001604,               0.001604,               0.001604
                     43,                 1.0923,                0.76997,                 1.1028,                0.82603,                0.78824,                0.87078,                0.57315,                 1.1485,                0.83764,                 1.2104,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.0537,                 0.7323,                 1.0841,                0.86859,                0.78539,                0.88501,                0.57761,                 1.1333,                0.79416,                 1.2068,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.0409,                0.71977,                 1.0856,                0.83916,                0.81021,                0.88151,                 0.5803,                 1.1476,                0.79744,                 1.2205,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.0146,                 0.7085,                 1.0733,                0.84527,                0.79765,                0.87995,                0.58154,                  1.129,                0.79474,                  1.201,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.0171,                0.69959,                 1.0757,                0.88081,                0.77381,                0.87893,                0.58051,                 1.1477,                0.80067,                 1.2177,              0.0015545,              0.0015545,              0.0015545
