                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7745,                 2.4918,                 1.6413,                0.63048,                0.59579,                0.61187,                0.33207,                  1.362,                 2.4729,                 1.2739,                0.00024,                0.00024,                0.00024
                      2,                 1.2954,                 1.2058,                 1.2698,                0.72478,                0.66168,                0.71872,                0.39701,                 1.3007,                 1.9935,                 1.3327,             0.00049752,             0.00049752,             0.00049752
                      3,                 1.2686,                  1.186,                 1.2329,                0.74087,                0.68368,                0.74418,                0.43876,                 1.2949,                 2.1757,                 1.3653,             0.00075248,             0.00075248,             0.00075248
                      4,                 1.2517,                 1.0709,                 1.2425,                0.59744,                 0.7481,                0.73578,                0.43649,                 1.2818,                 4.5445,                 1.3581,              0.0010049,              0.0010049,              0.0010049
                      5,                 1.3052,                 1.0535,                 1.2527,                0.72024,                0.72059,                0.76978,                0.46278,                 1.2485,                 2.4977,                 1.3063,              0.0012547,              0.0012547,              0.0012547
                      6,                 1.2618,                 1.0212,                 1.2507,                0.69181,                0.61549,                0.65296,                0.38279,                 1.2769,                 1.8094,                 1.3619,              0.0015019,              0.0015019,              0.0015019
                      7,                 1.2319,                0.97274,                 1.2169,                0.74412,                0.74592,                0.79023,                0.48557,                 1.2842,                 1.3616,                 1.3769,              0.0017465,              0.0017465,              0.0017465
                      8,                 1.2544,                0.99222,                  1.245,                 0.7278,                0.63574,                0.69401,                0.39768,                 1.3733,                 1.3467,                 1.4204,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.2365,                0.97085,                 1.2439,                0.76618,                0.63315,                0.73648,                0.43001,                 1.3628,                 1.3639,                 1.4408,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.2361,                0.93854,                 1.2232,                0.76484,                0.68886,                0.74367,                 0.4382,                 1.2491,                 1.2586,                 1.3278,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.2037,                0.91554,                 1.2103,                0.70395,                 0.6087,                0.66362,                 0.3779,                 1.3592,                 1.2999,                 1.3887,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.2831,                 1.0014,                 1.2514,                0.69034,                0.62701,                0.69918,                0.39784,                 1.3624,                 1.2165,                 1.3704,               0.001901,               0.001901,               0.001901
                     13,                 1.2057,                 0.9626,                 1.2023,                0.71806,                0.73014,                 0.7828,                0.46766,                 1.3092,                 1.2834,                 1.3717,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.2092,                0.91498,                 1.2127,                0.77353,                0.72283,                0.80899,                0.50908,                 1.2646,                 1.0958,                 1.3277,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.1514,                0.90547,                 1.1849,                0.78287,                0.75931,                0.82387,                0.50735,                 1.2759,                0.94515,                 1.3252,              0.0018713,              0.0018713,              0.0018713
