                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7745,                 2.4918,                 1.6413,                0.67966,                0.64471,                0.68439,                0.39692,                 1.2658,                  2.381,                 1.2359,                0.00024,                0.00024,                0.00024
                      2,                 1.2954,                 1.2058,                 1.2698,                 0.7735,                0.71513,                0.77563,                0.47468,                  1.144,                 1.7887,                 1.2329,             0.00049752,             0.00049752,             0.00049752
                      3,                 1.2686,                  1.186,                 1.2329,                0.73408,                0.72118,                0.76486,                0.46929,                 1.1662,                 2.1111,                  1.288,             0.00075248,             0.00075248,             0.00075248
                      4,                 1.2517,                 1.0709,                 1.2425,                0.57859,                0.76824,                0.74216,                0.45527,                 1.2046,                 4.3856,                 1.3354,              0.0010049,              0.0010049,              0.0010049
                      5,                 1.3052,                 1.0535,                 1.2527,                0.72477,                0.73424,                0.77674,                0.47495,                  1.194,                 2.4411,                 1.2915,              0.0012547,              0.0012547,              0.0012547
                      6,                 1.2618,                 1.0212,                 1.2507,                0.71655,                0.62454,                0.67823,                0.41495,                 1.1915,                 1.6862,                 1.3235,              0.0015019,              0.0015019,              0.0015019
                      7,                 1.2319,                0.97274,                 1.2169,                0.79379,                0.70706,                  0.798,                0.49894,                 1.2338,                 1.3028,                 1.3635,              0.0017465,              0.0017465,              0.0017465
                      8,                 1.2544,                0.99222,                  1.245,                0.71891,                0.64092,                0.70567,                0.42575,                 1.2835,                  1.303,                 1.3802,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.2365,                0.97085,                 1.2439,                0.75132,                0.67178,                0.75161,                0.44909,                 1.3217,                 1.2556,                 1.4144,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.2361,                0.93854,                 1.2232,                0.77396,                0.68353,                0.74936,                0.44421,                  1.229,                 1.2165,                 1.3338,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.2037,                0.91554,                 1.2103,                0.73522,                0.62118,                0.68178,                0.40734,                 1.3059,                 1.2657,                 1.3537,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.2831,                 1.0014,                 1.2514,                0.69945,                0.67882,                 0.7504,                0.44806,                 1.2941,                 1.1362,                 1.3479,               0.001901,               0.001901,               0.001901
                     13,                 1.2057,                 0.9626,                 1.2023,                 0.7572,                0.74235,                 0.7921,                0.47824,                 1.2803,                 1.2044,                 1.3842,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.2092,                0.91498,                 1.2127,                0.77172,                0.77557,                0.81584,                0.52011,                 1.2007,                 1.0545,                 1.3194,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.1514,                0.90547,                 1.1849,                0.81164,                0.73882,                0.82901,                0.51943,                 1.2402,                0.93352,                 1.3408,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.1673,                0.87232,                  1.186,                0.81499,                 0.7359,                0.82186,                0.52674,                 1.1868,                0.95856,                 1.2911,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.1351,                0.81657,                 1.1736,                0.79511,                0.75882,                0.83456,                0.52336,                 1.2251,                0.97041,                 1.3382,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.1372,                0.81596,                 1.1796,                0.81648,                0.72706,                0.83044,                0.53815,                  1.174,                0.92629,                 1.2763,              0.0018416,              0.0018416,              0.0018416
