                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5334,                 2.3072,                 1.4484,                0.63834,                0.65091,                0.63507,                0.24962,                 2.1482,                 1.7115,                 1.1869,             0.00065918,             0.00065918,             0.00065918
                      2,                 2.1426,                 1.1327,                 1.1965,                0.74527,                0.77825,                0.80101,                0.35038,                 1.9245,                 1.0928,                 1.1496,              0.0013193,              0.0013193,              0.0013193
                      3,                 2.0259,                0.96726,                 1.1768,                0.76865,                0.62725,                0.70992,                0.28974,                 2.1156,                 1.1417,                 1.2349,              0.0019728,              0.0019728,              0.0019728
                      4,                  1.981,                0.94755,                  1.176,                0.64043,                0.65062,                0.63239,                0.20323,                 2.4718,                 1.3788,                 1.4312,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.9283,                0.92638,                 1.1558,                0.79886,                0.81683,                0.85559,                0.39323,                 1.8039,                0.96204,                 1.1414,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.8866,                0.90697,                 1.1515,                0.83734,                0.80869,                0.87328,                0.43307,                 1.7948,                0.91358,                 1.1591,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.8711,                0.89679,                 1.1406,                0.82142,                0.76027,                 0.8406,                0.39149,                 1.8539,                0.96264,                 1.1762,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.8397,                0.87881,                 1.1379,                  0.815,                0.76928,                0.83025,                0.34667,                 2.0363,                0.96703,                 1.2279,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.8211,                0.87325,                 1.1306,                0.87356,                0.80919,                0.89894,                0.47342,                 1.6829,                  0.846,                 1.1043,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.8136,                 0.8641,                 1.1268,                0.84685,                0.76317,                0.86849,                0.42897,                 1.7471,                0.89921,                  1.133,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.8028,                0.85509,                 1.1236,                0.81684,                0.80459,                0.86119,                 0.3917,                 1.8106,                  0.897,                 1.1366,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.7926,                0.85633,                 1.1215,                0.83586,                0.79406,                0.85799,                0.41494,                 1.9031,                0.95435,                 1.2831,               0.001901,               0.001901,               0.001901
                     13,                 1.7726,                0.83679,                  1.113,                0.85817,                0.81476,                0.89425,                0.47196,                 1.7021,                0.86295,                 1.1212,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.7722,                0.83988,                 1.1127,                0.88149,                0.81083,                0.90195,                0.47917,                 1.6869,                0.84474,                 1.0956,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.7757,                 0.8341,                 1.1132,                0.83782,                0.75118,                0.81588,                 0.3337,                 2.0608,                0.97008,                 1.2971,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.7544,                0.82521,                 1.1049,                0.89345,                0.83401,                0.91861,                0.49232,                 1.5975,                0.79695,                 1.0734,              0.0018614,              0.0018614,              0.0018614
                     17,                  1.763,                0.82767,                 1.1071,                0.86445,                0.84629,                  0.905,                0.49076,                 1.6349,                0.85744,                 1.0861,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.7373,                0.81399,                 1.1009,                0.87876,                0.84419,                0.91364,                0.49661,                 1.6009,                0.78846,                 1.0728,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.7457,                0.80916,                 1.1039,                0.86019,                0.79928,                0.88487,                0.43924,                 1.7703,                0.87424,                  1.151,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.7291,                0.81115,                 1.1006,                0.89559,                0.83383,                0.91866,                0.45235,                 1.7728,                0.81839,                 1.1574,              0.0018218,              0.0018218,              0.0018218
                     21,                  1.743,                0.81629,                 1.1036,                0.88339,                0.85832,                0.92214,                0.48568,                 1.6643,                0.76997,                 1.1022,              0.0018119,              0.0018119,              0.0018119
